Page	Pageviews	Unique Pageviews	Avg. Time on Page	Entrances	Bounce Rate	% Exit	Page Value
/find/	3893	2901	51.99	167	44.91%	16.41%	0.00
/resources/	2864	2157	27.41	172	25.58%	13.37%	0.00
/index5.php	2284	1806	73.94	1759	48.61%	44.70%	0.00
/index3.php	2213	1727	74.00	1663	46.78%	43.06%	0.00
/index4.php	2210	1701	98.77	1657	49.91%	44.98%	0.00
/	2206	1750	57.84	1694	42.09%	38.85%	0.00
/index2.php	2099	1618	69.40	1583	45.61%	41.40%	0.00
/resources/title.php	1514	1207	264.77	84	80.95%	65.52%	0.00
/resources/about.php?id=120&title=Montana+Code+Annotated	1208	968	207.73	968	82.02%	79.55%	0.00
/journals/	1166	937	269.49	185	73.51%	63.29%	0.00
/find/index2.php	959	690	41.75	49	57.14%	19.50%	0.00
/resources/subjects.php	640	487	7.77	4	0.00%	1.09%	0.00
/home	576	313	31.40	3	0.00%	14.41%	0.00
/guides/mla.php	560	17	1.09	12	41.67%	2.68%	0.00
/m/	480	377	36.08	319	5.02%	3.96%	0.00
/request/	397	326	148.18	12	75.00%	54.41%	0.00
/ask/	308	123	33.72	22	0.00%	15.26%	0.00
/interact/	307	211	28.10	5	0.00%	9.45%	0.00
/about/	286	247	18.71	132	17.42%	14.34%	0.00
/hours/	286	272	83.43	21	85.71%	76.22%	0.00
/about/jobs.php	262	194	89.33	175	72.57%	68.70%	0.00
/digital/	215	141	38.01	29	34.48%	11.63%	0.00
/indian-great-plains/	210	115	72.94	106	48.11%	35.24%	0.00
/indian-great-plains/tribes.php	200	67	39.67	9	66.67%	5.00%	0.00
/indian-great-plains/index.php	193	77	31.97	10	70.00%	8.81%	0.00
/hours	178	151	50.31	0	0.00%	44.94%	0.00
/resources/nursing.php	172	141	200.25	8	75.00%	74.42%	0.00
/resources/about.php?id=315&title=Montana+Cadastral+Mapping	163	130	164.00	130	83.08%	79.75%	0.00
/schultz-0010/index.php	155	23	14.02	4	50.00%	4.52%	0.00
/people/	151	111	13.71	16	18.75%	7.28%	0.00
/guides/mla6.php	145	126	359.25	126	84.92%	83.45%	0.00
/contact.php	142	118	55.67	34	55.88%	42.96%	0.00
/digital/full-object.php	126	73	34.34	4	25.00%	15.87%	0.00
/resources/geology.php	126	100	252.22	73	79.45%	67.46%	0.00
/resources/health.php	124	77	147.63	7	57.14%	45.16%	0.00
/resources/business.php	115	66	156.90	13	84.62%	47.83%	0.00
/etd/view/	105	73	13.48	52	25.00%	20.95%	0.00
/index2.php?view=hours	105	93	28.88	10	90.00%	45.71%	0.00
/index5.php?view=hours	101	94	32.47	1	100.00%	51.49%	0.00
/index3.php?view=hours	99	86	25.79	0	0.00%	38.38%	0.00
/msu-photos/search.php	93	15	5.41	0	0.00%	0.00%	0.00
/accounts/libacctdetails.php	92	75	159.69	21	76.19%	54.35%	0.00
/search	91	72	153.84	1	100.00%	50.55%	0.00
/range-science/item/1434	90	79	444.82	79	86.08%	87.78%	0.00
/range-science/search.php	89	32	21.38	13	15.38%	8.99%	0.00
/channel/	88	54	76.29	46	19.57%	20.45%	0.00
/range-science/index.php	86	39	29.35	23	39.13%	24.42%	0.00
/forms/email.php	85	33	123.91	0	0.00%	24.71%	0.00
/snow-science/search.php	84	38	39.64	3	33.33%	10.71%	0.00
/index4.php?view=hours	79	73	75.02	0	0.00%	46.84%	0.00
47038	34458	60.12	16263	57.40%	34.57%	0.00
